date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-03-16,4.17,4.18,4.13,4.13,1251893.0,-0.04,-0.96,4.166,4.179,4.234,1482630.75,1530606.02,1753281.57
2018-03-15,4.15,4.19,4.17,4.15,1135393.75,0.0,0.0,4.178,4.183,4.243,1498524.07,1585720.17,1972643.39
2018-03-14,4.18,4.19,4.16,4.15,1201859.38,-0.03,-0.72,4.184,4.188,4.256,1487571.3,1632980.97,2164085.51
2018-03-13,4.18,4.24,4.2,4.18,1832753.0,0.03,0.72,4.194,4.195,4.277,1677049.07,1697937.3,2433081.11
2018-03-12,4.2,4.21,4.17,4.16,1991254.62,-0.01,-0.24,4.192,4.207,4.306,1684164.0,1764197.77,2693318.51
2018-03-09,4.2,4.22,4.19,4.16,1331359.62,-0.01,-0.24,4.192,4.231,4.335,1578581.3,1792291.04,2828226.56
2018-03-08,4.22,4.22,4.2,4.18,1080629.88,-0.02,-0.47,4.188,4.251,4.355,1672916.27,1805481.8,2893797.22
2018-03-07,4.21,4.27,4.21,4.2,2149248.25,0.02,0.48,4.192,4.268,4.376,1778390.65,1876431.46,3044936.19
2018-03-06,4.17,4.21,4.19,4.13,1868327.62,0.03,0.72,4.196,4.276,4.392,1718825.52,1796511.44,3076899.42
2018-03-05,4.16,4.19,4.17,4.12,1463341.12,0.0,0.0,4.222,4.284,4.407,1844231.55,1870301.7,3122163.85
2018-03-02,4.2,4.2,4.17,4.14,1803034.5,-0.05,-1.19,4.27,4.288,4.428,2006000.77,1975957.11,3238908.73
2018-03-01,4.2,4.26,4.22,4.19,1608001.75,-0.01,-0.24,4.314,4.302,4.452,1938047.32,2359566.61,3364004.96
2018-02-28,4.27,4.28,4.23,4.21,1851422.62,-0.09,-2.08,4.344,4.323,4.473,1974472.27,2695190.04,3463359.13
2018-02-27,4.4,4.4,4.32,4.3,2495357.75,-0.08,-1.82,4.356,4.359,4.496,1874197.35,3168224.93,3643149.43
2018-02-26,4.42,4.48,4.41,4.36,2272187.25,0.02,0.46,4.346,4.404,4.514,1896371.85,3622439.25,3871336.84
2018-02-23,4.39,4.4,4.39,4.34,1463267.25,0.02,0.46,4.306,4.439,4.514,1945913.45,3864162.08,4011384.93
2018-02-22,4.34,4.4,4.37,4.34,1790126.5,0.09,2.1,4.29,4.459,4.514,2781085.9,3982112.65,4260882.84
2018-02-14,4.27,4.3,4.29,4.22,1350048.0,0.01,0.23,4.302,4.483,4.514,3415907.8,4213440.93,4489566.34
2018-02-13,4.24,4.35,4.27,4.23,2606230.25,0.06,1.43,4.362,4.508,4.511,4462252.5,4357287.4,4610504.34
2018-02-12,4.25,4.3,4.21,4.19,2519895.25,-0.08,-1.86,4.462,4.529,4.509,5348506.65,4374026.0,4610315.4
2018-02-09,4.3,4.34,4.31,4.12,5639129.5,-0.11,-2.49,4.572,4.568,4.507,5782410.7,4501860.35,4683202.63
2018-02-08,4.52,4.54,4.43,4.33,4964236.0,-0.16,-3.49,4.628,4.602,4.496,5183139.4,4368443.3,4496614.3
2018-02-07,4.82,4.87,4.59,4.52,6581771.5,-0.17,-3.57,4.664,4.622,4.479,5010974.05,4231528.23,4370800.76
2018-02-06,4.69,4.85,4.77,4.65,7037501.0,0.01,0.21,4.654,4.632,4.451,4252322.3,4118073.93,4215118.45
2018-02-05,4.51,4.78,4.76,4.51,4689415.5,0.18,3.93,4.596,4.624,4.411,3399545.35,4120234.43,3963918.11
2018-02-02,4.58,4.6,4.59,4.51,2642773.0,-0.04,-0.86,4.564,4.588,4.374,3221310.0,4158607.78,3842666.65
2018-02-01,4.53,4.65,4.61,4.52,4103409.25,0.07,1.54,4.576,4.569,4.344,3553747.2,4539653.03,3821997.05
2018-01-31,4.46,4.55,4.54,4.45,2788512.75,0.06,1.34,4.58,4.544,4.313,3452082.4,4765691.75,3728570.19
2018-01-30,4.57,4.61,4.48,4.47,2773616.25,-0.12,-2.61,4.61,4.514,4.286,3983825.55,4863721.28,3678408.73
2018-01-29,4.67,4.75,4.6,4.57,3798238.75,-0.05,-1.07,4.652,4.489,4.261,4840923.5,4846604.8,3746981.86
2018-01-26,4.61,4.73,4.65,4.56,4304959.0,0.02,0.43,4.612,4.446,4.23,5095905.55,4864544.9,3654374.01
2018-01-25,4.66,4.69,4.63,4.52,3595085.25,-0.06,-1.28,4.562,4.39,4.195,5525558.85,4624785.3,3511085.83
2018-01-24,4.71,4.79,4.69,4.62,5447228.5,0.01,0.21,4.508,4.335,4.159,6079301.1,4510073.3,3409398.58
2018-01-23,4.4,4.71,4.69,4.38,7059106.0,0.29,6.59,4.418,4.269,4.122,5743617.0,4312162.98,3208538.63
2018-01-22,4.37,4.52,4.4,4.35,5073149.0,0.0,0.0,4.326,4.198,4.083,4852286.1,3807601.8,2929156.78
2018-01-19,4.43,4.51,4.4,4.36,6453225.5,0.04,0.92,4.28,4.159,4.058,4633184.25,3526725.53,2708795.41
2018-01-18,4.27,4.36,4.36,4.24,6363796.5,0.12,2.83,4.218,4.118,4.033,3724011.75,3104341.08,2440460.86
2018-01-17,4.23,4.34,4.24,4.23,3768808.0,0.02,0.47,4.162,4.082,4.011,2940845.5,2691448.63,2190750.22
